板块,指标,后台状态,后台位置（已验证）,取数说明,优先级
A.总览大盘,总注册用户数（累计）,✅直接可见,系统统计>系统统计>"会员总数"卡片,主数字 5,612,182,P0
A.总览大盘,总付费用户数（累计）,✅直接可见,系统统计>系统统计>"会员总数"卡片副文本,"付费人数:80,375",P0
A.总览大盘,总充值G点（累计）,✅直接可见,系统统计>系统统计>"游戏总消费G点"卡片副文本,"G点充值总额:82,377,968",P0
A.总览大盘,总消耗G点（累计）,✅直接可见,系统统计>系统统计>"游戏总消费G点"卡片主数字,75,646,113,P0
A.总览大盘,G点剩余总量,✅直接可见,系统统计>系统统计>"游戏总消费G点"卡片副文本,"G点结余:9,316,518",P0
A.总览大盘,付费渗透率（累计）,⚙️派生可算,系统统计>系统统计,付费人数 / 会员总数,P0
A.总览大盘,付费渗透率（周期活跃）,⚙️派生可算,系统统计-报表,(注册付费人数+留存付费人数) / 日活，按日,P0
A.总览大盘,ARPU,⚙️派生可算,系统统计-报表,(注册付费金额+留存付费金额) / 日活，按日,P0
A.总览大盘,ARPPU,✅直接可见,系统统计>系统统计>"充值"卡片副文本,"单价"字段（已有 50.64/59.64/61.02 等）,P0
A.总览大盘,客单价,✅直接可见,系统统计>系统统计>"充值"卡片副文本,同 ARPPU 字段（实质就是订单平均金额）,P0
B.实时今日,今日活跃UV,⚠️间接,系统统计-报表,今日还没结算时无值；可临时用今日充值卡的订单人数近似,P0
B.实时今日,今日新注册UV,✅直接可见,系统统计>系统统计>"今日注册"卡片,16218（更新时间 05-28 18:00）,P0
B.实时今日,今日付费UV,⚠️间接,系统统计>系统统计>"今日充值"卡片,卡里"总订单数1391"是订单数不是UV；UV需技术加,P0
B.实时今日,今日充值G点,✅直接可见,系统统计>系统统计>"今日游戏消费G点"卡片副文本,"G点充值总额:466,837",P0
B.实时今日,今日消耗G点,✅直接可见,系统统计>系统统计>"今日游戏消费G点"卡片主数字,620,681,P0
B.实时今日,今日单机销售额,⚙️派生可算,系统统计-报表,总充值 - 网游消费（需技术明确口径）,P0
B.实时今日,今日网游消费额,✅直接可见,网络游戏运营统计>当日加总,可按日期搜+导出,P0
B.实时今日,今日单机下载量,✅直接可见,系统统计>系统统计>"今日游戏下载数量"卡片,14630,P0
B.实时今日,今日网游注册数,✅直接可见,网络游戏运营统计>当日"新增账号"加总,可按日期搜+导出,P0
B.实时今日,今日网游付费UV,✅直接可见,网络游戏运营统计>当日"当日付费账号"加总,可按日期搜+导出,P0
C.用户活跃,DAU,✅直接可见,系统统计-报表>"日活"列,按日，55453/78340/77011 等,P0
C.用户活跃,WAU,🔧待技术,系统统计-报表,需技术补"7日去重活跃UV"（不是日活累加）,P0
C.用户活跃,MAU,🔧待技术,系统统计-报表,需技术补"30日去重活跃UV",P0
C.用户活跃,新增付费用户数,✅直接可见,系统统计-报表>"注册付费人数"列,按日，110/351/303 等,P0
D.付费分层,小R（1-100元）累计人数+占比+收入贡献%,🔧待技术,用户列表+订单管理,用户已有"累计充值"字段(评论列表里也可见)；需技术按累计金额分档打标签,P0
D.付费分层,中R（101-1000元）,🔧待技术,同上,同上,P0
D.付费分层,大R（1001-10000元）,🔧待技术,同上,同上,P0
D.付费分层,超R（10001-100000元）,🔧待技术,同上,同上，重点单独监控,P0
D.付费分层,鲸鱼R（100000+元）,🔧待技术,同上,同上,P0
E.转化与复购,首充转化率,⚙️派生可算,系统统计-报表>"注册付费人数"/"注册",已有当日口径；1/3/7天窗口需技术补,P0
E.转化与复购,复购率,🔧待技术,订单管理,需技术按用户去重次数统计,P0
E.转化与复购,收入结构占比,⚙️派生可算,系统统计-报表 + 套餐统计>会员套餐,会员金额从套餐统计取,P0
F.G点健康度,G点充消比,⚙️派生可算,系统统计>系统统计,今日 G点充值总额 / 消耗G点 自己算,P0
F.G点健康度,G点充值档位分布,✅直接可见,系统统计>套餐统计（套餐类型筛"金币套餐"）,Gcoin-648/328/128/99新人 等档位 + 点击/下单/成功 完整漏斗,P1
F.G点健康度,退款率+退款金额,✅直接可见,系统统计-报表>"投诉扣款订单金额"列,已有；率 = 该列/充值金额,P1
G.留存,新进次留,⚠️BUG,系统统计>日活统计,⚠️整张表无数据，要技术修；网游单游戏次留在"网络游戏注册留存"D1列,P0
G.留存,新进3留,⚠️BUG,系统统计>日活统计>"3日活跃总数(留存)"列,同上 bug；按游戏可看"网络游戏注册留存"D3,P0
